SN,uvw2start,uvw2end,uvm2start,uvm2end,uvw1start,uvw1end,ustart,uend,vstart,vend,bstart,bend
SN2005CS,53551,53561.456,53551.8875,53562.3318,53551,53573.0515,53556,53573.053,53551.8826,53627.9688,53556.7861,53580
SN2006at,53804,53811.7738,53804.659,53815.7709,53804.6318,53826.7413,53804.6325,53822.8928,53809.6377,53850.761,53804.633,53850.7679
ASASSN-13co,56538,56550.5219,56538,56550.7554,56539,56555.6448,56539,56563.8563,56538.9834,56584.4478,56539.0704,56572.2318
ASASSN-14ha,56911.8555,56936.9758,56911.8589,56934.8566,56911.8503,56945.0827,56911.852,56955.5529,56911.8572,56955.558,56911.8538,56955.5548
PTF11qax,55869,55876,55867,55876,55867,55876,55869,55876,55869.1927,55875.681,55869,55876
SN2006bc,53822,53828,53821,53828,53822,53837,53822,53836,53822.1285,53835.4104,53822,53836
SN2007od,54409,54427.6373,54409,54427.64,54409,54438.2122,54409,54438.2138,54409,54473,54409,54473
SN2008aw,54528.6641,54579.8139,54528.6752,54579.7183,54528.6846,54579.5802,54528,54579.5811,54528,54580,54528,54580
SN2008ij,54823,54862.6429,54823,54852.8187,54823.4807,54856.6289,54823.4819,54876.0572,54823.4866,54876.0547,54823.4827,54876.7611
SN2008M,54493,54502,54493,54499.1554,54493,54502,54493,54502,54493,54502,54493,54502
SN2009at,54906,54912,54906,54912,54906,54912,54906,54912,54906,54912,54906,54912
SN2009dd,54936,55053.0869,54936,55090.1987,54936,54946.229,54936,55017.142,54936.6262,55017.1448,54936.6215,55017.1437
SN2010F,55211,55236.6,55211.5145,55265.28,55211,55240.3774,55214.7542,55250.7471,55211.5102,55265.2777,55211.5044,55265.2749
SN2012A,55937.1043,55946.9162,55937,55947,55937,55948,55936.8058,55946.782,55936.7951,55946.7854,55937.1023,55947
SN2013ak,56362.9483,56382.5872,56362,56372.9361,56362.9563,56398.7337,56362.9574,56398.735,56368.6879,56398.7391,56362.9472,56398.7356
SN2013am,56373,56380.329,56373,56376,56373,56383,56373.6779,56390.3916,56375.3186,56400.6906,56375.3139,56400.6868
SN2013ej,56503,56551.6262,56503.9812,56551.6306,56503.9731,56551.6349,56508.8969,56541.4073,56503.9787,56609.6838,56511.9819,56581.7886
SN2014cx,56902.9956,56928.6006,56903.0019,56924.7155,56902.9908,56941.2667,56912.9105,56952.7026,56902.998,56954.5986,56909.0914,56952.7029
SN2015as,57342,57349,57342,57349,57342,57349,57342,57349,57342,57349,57342,57349
SN2016aqf,57445.1585,57465.3948,57445.1665,57465.3973,57445,57467.2824,57445.1551,57479.5575,57445.1608,57479.5603,57445.6899,57480
SN2016B,57391.0709,57405.109,57391.0453,57403.9001,57391.0665,57405.1046,57391.0679,57405.1062,57391.0381,57403.8974,57391.0689,57405.1069
SN2016blz,57495,57513.7107,57495,57516.7488,57495.3369,57522.9747,57495.3378,57525.7736,57495.3407,57525.7791,57495.3382,57525.7744
SN2016cqj,57551,57557,57551,57557,57551,57557,57551,57557,57551,57557,57551,57557
SN2016gfy,57646,57662.1062,57646,57662.11,57646,57663.7645,57646.1413,57667.9443,57646.1471,57667.9489,57647.3766,57667.945
SN2017eaw,57887.5955,57962.6201,57887.6034,57918.8533,57887.5907,57962.6147,57890,57920,57890,57920,57890,57920
SN2018is,58134,58143,58134,58143,58134,58143,58134,58143,58134,58143,58134,58143
SN2018ivc,58446,58448,58446,58453,58446,58453,58447,58463,58447,58463,58447,58463
SN2013by,56406,56447.5957,56406,56438.6241,56406,56472.0393,56406.8689,56480.8481,56421.9078,56464.2245,56406.8699,56484.9307
SN2013fs,56573.81,57583.5231,56572.0089,56593.1479,56571.9913,57583.5195,56574.9779,57583.5207,56574.949,57583.5252,56574.9788,57583.5215
SN2009kr,54667.3676,55158.4203,55144.7042,55158.4235,55144.6862,55164.9444,55144.6894,55176.392,55144.7007,55197.268,55144.691,55197.2633
PS15cwo,57342,57355.3437,57342,57355.3487,57342,57361.5833,57342,57367.5552,57344.7326,57386,57342,57373.6247
SN2006bp,53835.5824,53856.6316,53835.592,53853.1751,53835.605,53859.3119,53848.2299,53877.5281,53840.7812,53886,53842.7825,53877.5305
SN2008in,54830,54850.802,54830,54884.7284,54830,54884.7267,54830,54884.727,54830,54884.7281,54830,54884.7272
SN2009N,54858,54866.6522,54858,54863.2823,54858,54906.8369,54858,54906.8389,54858,54907,54858,54906.8469
SN2013ab,56344,56371.4726,56344,56368.7151,56344,56382.888,56344.4662,56378.4604,56344.4689,56442.4551,56344,56442.4509
SN2016C,57392,57401,57392,57401,57392,57401,57392,57401,57392,57401,57392,57401
SN2016cok,57536,57546.0986,57536,57541.9785,57536.5947,57547.6688,57536.5975,57548.9509,57536,57548.9539,57536.5994,57549.1189
SN2016X,57408.1183,57439.7994,57409.455,57441.6236,57408.1135,57439.7967,57410.1905,57448.771,57412.5062,57453,57412.5036,57453
